Id,Term,Location Capacity,Name,Building Number,Room Number
003-0111,2222 ,68,003 Business,003,0111
003-0111,2224 ,68,003 Business,003,0111
003-0112,2182 ,68,003 Business,003,0112
003-0112,2184 ,68,003 Business,003,0112
003-0112,2186 ,68,003 Business,003,0112
003-0112,2188 ,68,003 Business,003,0112
003-0112,2192 ,68,003 Business,003,0112
003-0112,2194 ,68,003 Business,003,0112
003-0112,2196 ,68,003 Business,003,0112
003-0112,2198 ,68,003 Business,003,0112
003-0112,2202 ,68,003 Business,003,0112
003-0112,2218 ,68,003 Business,003,0112
003-0112,2222 ,68,003 Business,003,0112
003-0112,2224 ,68,003 Business,003,0112
003-0113,2182 ,46,003 Business,003,0113
003-0113,2184 ,46,003 Business,003,0113
003-0113,2186 ,46,003 Business,003,0113
003-0113,2188 ,47,003 Business,003,0113
003-0113,2192 ,47,003 Business,003,0113
003-0113,2194 ,47,003 Business,003,0113
003-0113,2196 ,47,003 Business,003,0113
003-0113,2198 ,47,003 Business,003,0113
003-0113,2202 ,47,003 Business,003,0113
003-0113,2218 ,47,003 Business,003,0113
003-0113,2222 ,47,003 Business,003,0113
003-0113,2224 ,47,003 Business,003,0113
003-0114,2182 ,40,003 Business,003,0114
003-0114,2184 ,40,003 Business,003,0114
003-0114,2188 ,40,003 Business,003,0114
003-0114,2192 ,40,003 Business,003,0114
003-0114,2194 ,40,003 Business,003,0114
003-0114,2196 ,40,003 Business,003,0114
003-0114,2198 ,40,003 Business,003,0114
003-0114,2202 ,40,003 Business,003,0114
003-0114,2218 ,40,003 Business,003,0114
003-0114,2222 ,40,003 Business,003,0114
003-0114,2224 ,40,003 Business,003,0114
003-0201,2182 ,42,003 Business,003,0201
003-0201,2184 ,42,003 Business,003,0201
003-0201,2188 ,42,003 Business,003,0201
003-0201,2192 ,42,003 Business,003,0201
003-0201,2194 ,42,003 Business,003,0201
003-0201,2196 ,42,003 Business,003,0201
003-0201,2198 ,42,003 Business,003,0201
003-0201,2202 ,42,003 Business,003,0201
003-0201,2218 ,42,003 Business,003,0201
003-0201,2222 ,42,003 Business,003,0201
003-0201,2224 ,42,003 Business,003,0201
003-0204,2182 ,45,003 Business,003,0204
003-0204,2184 ,45,003 Business,003,0204
003-0204,2188 ,45,003 Business,003,0204
003-0204,2192 ,45,003 Business,003,0204
003-0204,2194 ,45,003 Business,003,0204
003-0204,2198 ,45,003 Business,003,0204
003-0204,2202 ,45,003 Business,003,0204
003-0204,2218 ,45,003 Business,003,0204
003-0204,2222 ,45,003 Business,003,0204
003-0204,2224 ,45,003 Business,003,0204
003-0205,2182 ,45,003 Business,003,0205
003-0205,2184 ,45,003 Business,003,0205
003-0205,2188 ,45,003 Business,003,0205
003-0205,2192 ,45,003 Business,003,0205
003-0205,2194 ,45,003 Business,003,0205
003-0205,2196 ,45,003 Business,003,0205
003-0205,2198 ,45,003 Business,003,0205
003-0205,2202 ,45,003 Business,003,0205
003-0205,2218 ,45,003 Business,003,0205
003-0205,2222 ,45,003 Business,003,0205
003-0205,2224 ,45,003 Business,003,0205
003-0206,2182 ,46,003 Business,003,0206
003-0206,2184 ,46,003 Business,003,0206
003-0206,2186 ,46,003 Business,003,0206
003-0206,2188 ,46,003 Business,003,0206
003-0206,2192 ,46,003 Business,003,0206
003-0206,2194 ,46,003 Business,003,0206
003-0206,2198 ,46,003 Business,003,0206
003-0206,2202 ,46,003 Business,003,0206
003-0206,2204 ,46,003 Business,003,0206
003-0206,2218 ,46,003 Business,003,0206
003-0206,2222 ,46,003 Business,003,0206
003-0206,2224 ,46,003 Business,003,0206
003-0209,2182 ,46,003 Business,003,0209
003-0209,2184 ,46,003 Business,003,0209
003-0209,2188 ,46,003 Business,003,0209
003-0209,2192 ,46,003 Business,003,0209
003-0209,2194 ,46,003 Business,003,0209
003-0209,2198 ,46,003 Business,003,0209
003-0209,2202 ,46,003 Business,003,0209
003-0209,2218 ,46,003 Business,003,0209
003-0209,2222 ,46,003 Business,003,0209
003-0209,2224 ,46,003 Business,003,0209
003-0213,2182 ,230,003 Business,003,0213
003-0213,2184 ,230,003 Business,003,0213
003-0213,2188 ,230,003 Business,003,0213
003-0213,2192 ,230,003 Business,003,0213
003-0213,2194 ,230,003 Business,003,0213
003-0213,2198 ,230,003 Business,003,0213
003-0213,2202 ,230,003 Business,003,0213
003-0213,2214 ,230,003 Business,003,0213
003-0213,2218 ,230,003 Business,003,0213
003-0213,2222 ,230,003 Business,003,0213
003-0213,2224 ,230,003 Business,003,0213
003-0300A,2182 ,44,003 Business,003,0300A
003-0300A,2184 ,44,003 Business,003,0300A
003-0300A,2188 ,44,003 Business,003,0300A
003-0300A,2192 ,44,003 Business,003,0300A
003-0300A,2194 ,44,003 Business,003,0300A
003-0300A,2198 ,44,003 Business,003,0300A
003-0300A,2202 ,44,003 Business,003,0300A
003-0300A,2204 ,44,003 Business,003,0300A
003-0300A,2218 ,44,003 Business,003,0300A
003-0300A,2222 ,44,003 Business,003,0300A
003-0300A,2224 ,44,003 Business,003,0300A
003-0302,2182 ,32,003 Business,003,0302
003-0302,2184 ,41,003 Business,003,0302
003-0302,2188 ,41,003 Business,003,0302
003-0302,2192 ,41,003 Business,003,0302
003-0302,2194 ,41,003 Business,003,0302
003-0302,2198 ,41,003 Business,003,0302
003-0302,2202 ,41,003 Business,003,0302
003-0302,2218 ,41,003 Business,003,0302
003-0302,2222 ,41,003 Business,003,0302
003-0302,2224 ,41,003 Business,003,0302
003-0303,2182 ,36,003 Business,003,0303
003-0303,2184 ,36,003 Business,003,0303
003-0303,2186 ,36,003 Business,003,0303
003-0303,2188 ,36,003 Business,003,0303
003-0303,2192 ,36,003 Business,003,0303
003-0303,2194 ,36,003 Business,003,0303
003-0303,2198 ,36,003 Business,003,0303
003-0303,2202 ,36,003 Business,003,0303
003-0303,2204 ,36,003 Business,003,0303
003-0303,2208 ,36,003 Business,003,0303
003-0303,2218 ,36,003 Business,003,0303
003-0303,2222 ,36,003 Business,003,0303
003-0303,2224 ,36,003 Business,003,0303
003-0305,2182 ,48,003 Business,003,0305
003-0305,2184 ,48,003 Business,003,0305
003-0305,2188 ,48,003 Business,003,0305
003-0305,2192 ,48,003 Business,003,0305
003-0305,2194 ,48,003 Business,003,0305
003-0305,2198 ,48,003 Business,003,0305
003-0305,2202 ,48,003 Business,003,0305
003-0305,2204 ,48,003 Business,003,0305
003-0305,2218 ,48,003 Business,003,0305
003-0305,2222 ,48,003 Business,003,0305
003-0305,2224 ,48,003 Business,003,0305
003-0306,2182 ,38,003 Business,003,0306
003-0306,2184 ,38,003 Business,003,0306
003-0306,2188 ,38,003 Business,003,0306
003-0306,2192 ,38,003 Business,003,0306
003-0306,2194 ,38,003 Business,003,0306
003-0306,2198 ,38,003 Business,003,0306
003-0306,2202 ,38,003 Business,003,0306
003-0306,2218 ,38,003 Business,003,0306
003-0306,2222 ,38,003 Business,003,0306
003-0306,2224 ,38,003 Business,003,0306
003-0307,2182 ,38,003 Business,003,0307
003-0307,2184 ,38,003 Business,003,0307
003-0307,2188 ,38,003 Business,003,0307
003-0307,2192 ,38,003 Business,003,0307
003-0307,2194 ,38,003 Business,003,0307
003-0307,2196 ,38,003 Business,003,0307
003-0307,2198 ,38,003 Business,003,0307
003-0307,2202 ,38,003 Business,003,0307
003-0307,2218 ,44,003 Business,003,0307
003-0307,2222 ,44,003 Business,003,0307
003-0307,2224 ,44,003 Business,003,0307
005-0100,2182 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2184 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2188 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2192 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2194 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2198 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2202 ,40,005 Architecture & Environmental Design,005,0100
